emp_no,first_name,last_name,from_date,title,to_date
10835,Tomoyuki,Kermarrec,1995-08-22,Engineer,9999-01-01
10836,Jianhua,Leivant,1987-08-10,Senior Staff,9999-01-01
10844,Dipayan,Koprowski,1997-04-25,Engineer,9999-01-01
10846,Tokuyasu,Serre,1995-01-17,Senior Engineer,9999-01-01
10847,Theirry,Danley,1992-07-24,Senior Staff,9999-01-01
10848,Fen,Bratsberg,1992-04-20,Senior Engineer,9999-01-01
10849,Makato,Mayerwieser,2001-06-24,Engineer,9999-01-01
10854,Jagoda,Nannarelli,1998-07-13,Engineer,9999-01-01
10858,Kenroku,Gonthier,2002-01-01,Senior Engineer,9999-01-01
10871,Aram,Gilg,1999-06-16,Staff,9999-01-01
10872,Karoline,Speel,1996-09-05,Senior Staff,9999-01-01
10873,Sukumar,Wegerle,1994-03-23,Staff,9999-01-01
10878,Lakshmi,Deville,1997-04-25,Staff,9999-01-01
10879,Muzhong,Chleq,1985-08-15,Senior Engineer,9999-01-01
10882,Fun,Heuser,1999-04-29,Engineer,9999-01-01
10883,Shimshon,Champarnaud,1996-12-28,Engineer,9999-01-01
10885,Rayond,Cronau,1991-08-19,Senior Staff,9999-01-01
10887,Lunjin,DeMori,1989-03-17,Senior Engineer,9999-01-01
10900,Ferdinand,Prenel,1995-09-07,Senior Engineer,9999-01-01
10906,Munehiro,Carrere,1998-10-18,Staff,9999-01-01
10909,Georgi,Atchley,2000-12-26,Senior Engineer,9999-01-01
10913,Narain,Thummel,1998-10-25,Staff,9999-01-01
10920,Ronghao,Narahara,1998-02-23,Senior Staff,9999-01-01
10921,Mara,Bahi,1995-07-27,Senior Engineer,9999-01-01
10924,Hironoby,Atchley,1997-08-14,Senior Staff,9999-01-01
10926,Leni,Eppinger,1995-04-30,Senior Engineer,9999-01-01
10927,Gal,Scallan,1993-09-12,Senior Staff,9999-01-01
10930,Arch,Minakawa,1998-11-22,Senior Engineer,9999-01-01
10932,Avishai,Picci,1999-09-09,Senior Engineer,9999-01-01
10936,Mountaz,Schicker,1996-05-08,Senior Staff,9999-01-01
10942,Toshimitsu,Larfeldt,1996-01-21,Engineer,9999-01-01
10943,Berna,Skafidas,1999-05-22,Senior Engineer,9999-01-01
10944,Remko,Zyda,1995-09-07,Senior Engineer,9999-01-01
10947,Gor,Usery,2001-11-15,Senior Staff,9999-01-01
10949,Shigeichiro,Wroclawski,1996-06-28,Senior Staff,9999-01-01
10956,Arno,Picel,1995-12-02,Engineer,9999-01-01
10965,Eckart,Braunschweig,1986-07-29,Senior Staff,9999-01-01
10969,Premal,Noriega,1994-05-12,Senior Engineer,9999-01-01
10974,Muneo,Papsdorf,1999-05-17,Senior Engineer,9999-01-01
10986,Masako,Schiper,1985-10-11,Technique Leader,9999-01-01
10987,Flemming,Baezner,1997-05-21,Engineer,9999-01-01
10988,Chinya,Deyuan,1985-06-19,Senior Engineer,9999-01-01
10989,Sumali,Candan,1991-07-20,Senior Staff,9999-01-01
10990,Shin,Foote,1990-08-06,Technique Leader,9999-01-01
10996,Matk,Rahimi,1996-02-07,Senior Staff,9999-01-01
11004,JoAnna,Decleir,1998-01-18,Senior Engineer,9999-01-01
11009,Alper,Axelband,1993-09-09,Senior Staff,9999-01-01
11012,Taegyun,Speckmann,1996-07-06,Staff,9999-01-01
11019,Leon,Huttel,1997-05-24,Senior Engineer,9999-01-01
11021,Srinidhi,Henders,1998-02-02,Staff,9999-01-01
11027,Remzi,Cappello,1996-05-06,Senior Engineer,9999-01-01
11031,Ottavia,Walstra,1993-10-24,Senior Staff,9999-01-01
11032,Erez,Schaaf,1994-06-06,Staff,9999-01-01
11037,Lansing,Maliniak,1995-01-28,Senior Engineer,9999-01-01
11038,Jinya,Beidas,1992-07-15,Senior Staff,9999-01-01
11042,Gou,Breugel,2000-06-21,Senior Engineer,9999-01-01
11048,Jaques,Demke,1999-05-27,Senior Staff,9999-01-01
11050,Elvis,Katiyar,1991-05-06,Senior Staff,9999-01-01
11051,Przemyslawa,Erol,2000-03-26,Senior Engineer,9999-01-01
11056,Palash,Speel,1997-07-01,Staff,9999-01-01
11061,Pintsang,Erni,2002-02-19,Senior Staff,9999-01-01
11064,Shawna,Vieri,2002-02-27,Senior Engineer,9999-01-01
11066,Shaz,Langford,1996-04-30,Senior Staff,9999-01-01
11070,Adib,Raney,1991-07-24,Senior Engineer,9999-01-01
11071,Kwan,Sigstam,2001-05-23,Senior Engineer,9999-01-01
11075,Karsten,Belinskaya,1998-05-06,Senior Engineer,9999-01-01
11079,Piyush,Garigliano,2001-05-26,Senior Engineer,9999-01-01
11081,Barry,Boyle,1994-06-17,Senior Staff,9999-01-01
11083,Shimshon,Ducloy,2000-10-04,Senior Staff,9999-01-01
11084,Greger,Senzako,1999-05-31,Senior Engineer,9999-01-01
11085,Hailing,Thummel,1996-02-10,Senior Engineer,9999-01-01
11087,Changho,Jayawardene,1998-03-18,Senior Engineer,9999-01-01
11089,Conal,Henders,1994-08-13,Senior Staff,9999-01-01
11091,Souichi,Ramsay,1999-09-11,Engineer,9999-01-01
11092,Narain,Stamatiou,1999-04-05,Staff,9999-01-01
11098,Arnd,Covnot,1997-01-08,Engineer,9999-01-01
11100,Berna,Cochrane,1993-10-13,Senior Staff,9999-01-01
11106,Aris,Iwayama,1997-08-30,Senior Engineer,9999-01-01
11111,Udi,Zastre,1994-12-25,Assistant Engineer,9999-01-01
11112,Boaz,Mukaidono,1995-04-28,Staff,9999-01-01
11113,Shahab,Peng,1991-11-30,Senior Staff,9999-01-01
11121,Vugranam,Kakkad,1999-11-01,Senior Engineer,9999-01-01
11130,Xinyu,Menhoudj,1997-02-17,Senior Staff,9999-01-01
11132,Kristin,Harnett,1999-08-30,Senior Engineer,9999-01-01
11133,Nalini,Azulay,1994-03-06,Technique Leader,9999-01-01
11134,Sachar,Rajcani,2002-05-19,Senior Engineer,9999-01-01
11137,Hugh,Luca,1995-03-16,Engineer,9999-01-01
11139,Bogdan,Homond,1995-05-11,Senior Staff,9999-01-01
11143,Yongdong,Rosen,1996-05-09,Engineer,9999-01-01
11144,Carrsten,Heinisuo,2002-07-19,Senior Staff,9999-01-01
11146,Ishfaq,Masand,1997-08-21,Senior Staff,9999-01-01
11147,Ayonca,Nitsch,1997-12-04,Engineer,9999-01-01
11148,Zhanqiu,Botman,1997-02-08,Senior Staff,9999-01-01
11158,Masaki,Hagimont,2002-04-20,Senior Engineer,9999-01-01
11162,Kauko,Narlikar,1990-03-28,Senior Engineer,9999-01-01
11168,Shmuel,Tetzlaff,2001-07-15,Senior Staff,9999-01-01
11170,Minghong,Cannard,1990-06-20,Senior Engineer,9999-01-01
11174,Akhilish,Milicia,1999-06-07,Engineer,9999-01-01
11177,Chrisa,dAstous,1999-09-11,Senior Engineer,9999-01-01
11180,Mitsuyuki,Bojadziev,1992-06-10,Senior Engineer,9999-01-01
11181,Hausi,Cullers,1997-11-03,Engineer,9999-01-01
11185,Aloys,Baezner,2000-01-26,Senior Staff,9999-01-01
11186,Kshitij,Stasinski,2000-12-09,Senior Engineer,9999-01-01
11189,Dante,Bodoff,1991-09-07,Senior Staff,9999-01-01
11192,Apostol,Bahr,1998-04-07,Engineer,9999-01-01
11197,Tadahiro,Fordan,1989-09-12,Senior Staff,9999-01-01
11201,Jouko,Masaki,1995-10-31,Staff,9999-01-01
11204,Diederik,Covnot,1985-09-18,Technique Leader,9999-01-01
11207,Saeed,Gips,1999-01-31,Engineer,9999-01-01
11208,Saniya,Valtorta,1994-11-17,Technique Leader,9999-01-01
11211,Yurij,Rissland,1985-09-17,Senior Engineer,9999-01-01
11213,Vugranam,Munoz,1999-02-04,Technique Leader,9999-01-01
11217,Kellie,Mawatari,1990-03-11,Senior Engineer,9999-01-01
11229,Gretta,Ramamoorthy,2000-07-25,Senior Engineer,9999-01-01
11232,Hidefumi,Crelier,2000-08-01,Senior Staff,9999-01-01
11233,Sanjit,Waschkowski,1998-12-14,Senior Engineer,9999-01-01
11240,Kiam,Condotta,1997-01-06,Engineer,9999-01-01
11243,Udi,Desikan,2000-01-20,Assistant Engineer,9999-01-01
11249,Randi,Cyre,1994-09-22,Engineer,9999-01-01
11251,Bezalel,Chinal,1993-06-15,Senior Staff,9999-01-01
11253,Koldo,Pokrovskii,2000-05-22,Senior Engineer,9999-01-01
11254,Danel,Rindone,1998-12-19,Staff,9999-01-01
11258,Aris,Maccarone,1998-03-28,Senior Staff,9999-01-01
11266,Florina,Rohrbach,2002-05-12,Senior Engineer,9999-01-01
11267,Shaunak,Zaumen,1996-04-09,Senior Engineer,9999-01-01
11268,Aimee,Petersohn,1995-10-25,Senior Engineer,9999-01-01
11274,Masanao,Nicolson,1999-12-13,Staff,9999-01-01
11275,Hitomi,Eppinger,1998-04-25,Senior Engineer,9999-01-01
11289,Chuanti,Cherinka,1996-02-23,Senior Engineer,9999-01-01
11290,Visit,Dredge,1999-05-13,Engineer,9999-01-01
11292,Souichi,Sichman,1996-02-12,Senior Engineer,9999-01-01
11294,Tru,Segond,1999-06-13,Senior Engineer,9999-01-01
11295,Abdelkader,Lanzelotte,1990-05-15,Senior Staff,9999-01-01
11296,Hironobu,Kenevan,1994-09-26,Senior Engineer,9999-01-01
11301,Mingzeng,Oxenboll,1996-05-23,Senior Staff,9999-01-01
11317,Shigeaki,Hagimont,2000-09-07,Senior Staff,9999-01-01
11319,Pranas,Marrakchi,1998-11-01,Assistant Engineer,9999-01-01
11320,Atilio,McAlpine,1998-04-06,Senior Staff,9999-01-01
11322,Nathalie,Pocchiola,1999-07-08,Senior Engineer,9999-01-01
11324,Kauko,Billingsley,1985-08-29,Senior Engineer,9999-01-01
11325,Samphel,Rossi,1999-01-10,Engineer,9999-01-01
11326,Munenori,Plesums,1999-02-19,Senior Engineer,9999-01-01
11338,Kwangsub,Hanratty,1998-10-28,Senior Staff,9999-01-01
11339,Flemming,Massonet,1989-12-19,Senior Engineer,9999-01-01
11340,Aris,Bala,1998-09-11,Senior Engineer,9999-01-01
11343,Susanne,Erez,1995-02-27,Senior Engineer,9999-01-01
11347,Anneli,Jonsson,1992-04-19,Senior Engineer,9999-01-01
11349,Yurii,Hammerschmidt,1999-06-28,Engineer,9999-01-01
11360,Fen,Schach,1997-01-12,Senior Staff,9999-01-01
11365,Toshimi,Shinomoto,1997-12-18,Engineer,9999-01-01
11373,Yongmao,Keohane,2000-07-18,Senior Staff,9999-01-01
11376,Valery,Suomi,1994-03-14,Senior Staff,9999-01-01
11380,Kenroku,Pelc,2001-04-18,Senior Engineer,9999-01-01
11385,Shiv,Ullian,1999-08-08,Engineer,9999-01-01
11386,Alselm,Assaf,1993-11-29,Senior Engineer,9999-01-01
11393,Junsik,Junot,1992-04-30,Senior Engineer,9999-01-01
11396,Anneke,Servieres,1997-02-04,Engineer,9999-01-01
11398,Oscar,Peir,2001-09-07,Senior Staff,9999-01-01
11401,Huan,Merey,1995-04-15,Staff,9999-01-01
11404,Bedrich,Borovoy,1990-09-25,Technique Leader,9999-01-01
11406,Eberhardt,Gini,1996-03-13,Senior Staff,9999-01-01
11410,Gro,Vendrig,1999-10-25,Engineer,9999-01-01
11415,Sanjiv,Anido,1996-12-07,Engineer,9999-01-01
11417,Anneli,Cyne,1992-12-21,Technique Leader,9999-01-01
11418,Satosi,Cooley,1991-12-30,Senior Staff,9999-01-01
11420,Tsutomu,Lalonde,1992-01-31,Senior Staff,9999-01-01
11421,Josyula,Msuda,1995-09-02,Senior Engineer,9999-01-01
11423,Guangming,Kopetz,1998-10-13,Staff,9999-01-01
11425,Renee,Crelier,1990-08-27,Senior Engineer,9999-01-01
11441,Marlo,Aingworth,1987-03-27,Senior Staff,9999-01-01
11446,Naftali,Narahara,1999-04-06,Senior Engineer,9999-01-01
11449,Kotesh,Asser,2000-02-03,Senior Engineer,9999-01-01
11451,Eben,Rajaraman,1990-05-20,Senior Engineer,9999-01-01
11452,Shigehito,Luby,2001-08-26,Senior Staff,9999-01-01
11459,Duke,Suomi,1992-05-02,Senior Staff,9999-01-01
11460,Mana,Maraist,2001-05-28,Senior Engineer,9999-01-01
11469,Guttorm,Giaccio,1999-09-08,Senior Engineer,9999-01-01
11474,Gennady,Akazan,1993-12-29,Engineer,9999-01-01
11476,Manton,Yoshizawa,1994-01-15,Staff,9999-01-01
11479,Shridhar,Pleszkun,1999-02-10,Staff,9999-01-01
11503,Nathan,Picht,2002-04-09,Senior Engineer,9999-01-01
11506,Rance,Picel,1996-04-08,Staff,9999-01-01
11509,Aleksander,Feldhoffer,1992-11-11,Senior Engineer,9999-01-01
11513,Otmar,Mahnke,1998-08-25,Senior Staff,9999-01-01
11515,Ulf,Basawa,1998-09-21,Staff,9999-01-01
11518,Jinxi,Oxman,1999-09-22,Senior Staff,9999-01-01
11519,Halsur,Chinen,1997-06-12,Senior Staff,9999-01-01
11523,Yuguang,Pezzoli,1998-12-23,Engineer,9999-01-01
11524,Xiadong,Standera,1996-07-05,Senior Engineer,9999-01-01
11527,Alagu,Boyle,1999-01-28,Staff,9999-01-01
11528,Zito,Dolinsky,1987-06-15,Technique Leader,9999-01-01
11531,Radhika,Motley,1992-11-04,Technique Leader,9999-01-01
11533,Vitaly,Lorch,1991-08-20,Technique Leader,9999-01-01
11537,DAIDA,Pehl,1986-07-06,Senior Staff,9999-01-01
11540,Chanjung,Portugali,2002-07-02,Senior Engineer,9999-01-01
11554,Subhash,Taubenfeld,1998-07-15,Staff,9999-01-01
11555,Kotesh,Perfilyeva,1991-10-14,Senior Staff,9999-01-01
11567,Teiji,Mitzlaff,1996-02-03,Senior Staff,9999-01-01
11568,Martins,Fujisaki,2000-03-13,Senior Engineer,9999-01-01
11573,Pranas,Hutton,1995-02-04,Senior Engineer,9999-01-01
11575,Godehard,Plotkin,2000-05-31,Engineer,9999-01-01
11577,Mayumi,Deyuan,1998-09-23,Senior Engineer,9999-01-01
11581,Patricio,Rosenbaum,2001-11-13,Senior Engineer,9999-01-01
11587,Shem,Zambonelli,1989-04-24,Senior Engineer,9999-01-01
11589,Gina,Plessier,2001-05-06,Senior Engineer,9999-01-01
11595,Takanari,Kamber,1992-09-08,Senior Staff,9999-01-01
11596,Yannik,Gunderson,1995-11-23,Staff,9999-01-01
11602,Somnath,Malabarba,2001-06-21,Senior Staff,9999-01-01
11603,Herb,Swen,1994-04-13,Senior Staff,9999-01-01
11606,Perry,Pepe,1999-09-27,Senior Staff,9999-01-01
11607,Tomokazu,Foong,1995-04-19,Engineer,9999-01-01
11615,Shem,Isaak,2000-08-28,Senior Staff,9999-01-01
11616,Zhilian,Brendel,1998-12-30,Engineer,9999-01-01
11624,Adil,Gammage,1996-07-15,Senior Engineer,9999-01-01
11628,Fan,Malinowski,1997-10-23,Senior Engineer,9999-01-01
11640,Valeri,Coorg,1988-09-26,Senior Engineer,9999-01-01
11641,Chikako,Rothenberg,1991-06-18,Senior Engineer,9999-01-01
11644,Sanjit,Zaiane,1995-08-09,Assistant Engineer,9999-01-01
11646,Lobel,Rubsam,1999-12-15,Engineer,9999-01-01
11647,Magy,Nitsche,1993-05-11,Senior Engineer,9999-01-01
11649,Shen,Bernardinello,1992-12-11,Technique Leader,9999-01-01
11660,Gill,Stenning,1994-11-22,Senior Staff,9999-01-01
11664,Oksana,Brizzi,1990-09-07,Senior Staff,9999-01-01
11667,Kristian,Marchegay,1996-09-07,Senior Staff,9999-01-01
11673,Henk,Felder,1989-06-10,Technique Leader,9999-01-01
11676,Valeri,Ferriere,1998-07-15,Engineer,9999-01-01
11681,Fumitake,Benzmuller,1995-08-28,Senior Engineer,9999-01-01
